age,diameter,length,material,install_year,condition_score,criticality,pressure_zone,Failure_Tot,failure,longitude,latitude
34,150,5.62695673332033,PVC,1990.0,9.35,6,2,0,0,,
34,150,108.282004606592,PVC,1990.0,9.35,6,2,0,0,,
39,200,12.8581470270423,DI,1985.0,9.1,7,1,2,1,-80.4881495424015,43.4500063381358
63,200,107.29700080833,CI,1961.0,6.15,7,1,2,1,-80.4881495424015,43.4500063381358
63,200,1.80619290713966,CI,1961.0,7.75,8,1,2,1,-80.4881495424015,43.4500063381358
77,150,253.70651059339,CI,1947.0,6.9,6,1,1,1,-80.4809548426344,43.4670110578409
70,250,64.7341334511691,CI,1954.0,7.75,6,1,0,0,,
70,250,2.12973977746552,CI,1954.0,7.75,6,1,2,1,-80.4623741731143,43.4513648814166
39,200,129.665151691818,DI,1985.0,9.1,7,1,0,0,,
39,200,2.17432128379444,DI,1985.0,9.1,0,1,0,0,,
39,200,9.63525037902514,DI,1985.0,9.1,6,1,0,0,,
28,200,7.76887197015691,PVC,1996.0,9.35,6,3,0,0,,
28,200,10.4535992723098,PVC,1996.0,9.35,6,3,0,0,,
28,200,154.143452741921,PVC,1996.0,9.35,6,3,0,0,,
28,200,184.732196869416,PVC,1996.0,9.35,6,3,0,0,,
16,300,104.526142285064,PVC,2008.0,9.35,8,1,0,0,,
53,200,11.8888044948749,DI,1971.0,8.5,6,3,0,0,,
53,200,47.4297325473115,DI,1971.0,8.5,7,3,0,0,,
50,300,12.4897764592648,DI,1974.0,8.5,7,1,0,0,,
50,300,87.4583971894231,DI,1974.0,8.5,7,1,0,0,,
50,300,181.442897599038,DI,1974.0,8.5,7,1,0,0,,
22,200,7.13402762186715,PVC,2002.0,9.35,6,2,0,0,,
22,200,10.7446876406917,PVC,2002.0,9.35,6,2,0,0,,
22,200,169.42474871988,PVC,2002.0,9.35,6,2,0,0,,
19,150,77.4987542996756,PVC,2005.0,9.35,6,1,0,0,,
19,150,94.7711868173078,PVC,2005.0,9.35,5,1,0,0,,
19,150,9.10125571813034,PVC,2005.0,9.35,5,1,0,0,,
49,300,5.28767593580842,DI,1975.0,4.58,8,1,2,1,-80.4941668502505,43.4525934119519
49,300,55.5587384916284,DI,1975.0,5.7,7,1,2,1,-80.4941668502505,43.4525934119519
49,300,15.4823738952461,DI,1975.0,8.5,7,1,0,0,,
49,300,1.50450417093058,DI,1975.0,8.5,0,1,2,1,-80.4941668502505,43.4525934119519
49,300,38.5886558925303,DI,1975.0,8.5,7,1,0,0,,
15,150,132.72720645393,PVC,2009.0,7.75,6,1,0,0,,
15,150,10.5486692999778,PVC,2009.0,9.35,6,1,0,0,,
74,150,128.120402032481,CI,1950.0,7.75,5,1,0,0,,
21,300,8.35456019593447,PVC,2003.0,9.35,6,1,0,0,,
21,300,5.0878996035105,PVC,2003.0,9.35,0,1,0,0,,
21,300,12.208891735584,PVC,2003.0,9.35,6,1,0,0,,
34,300,133.154542532266,DI,1990.0,9.1,7,1,0,0,,
46,300,24.9682710567032,DI,1978.0,8.5,7,1,0,0,,
46,300,76.7401478499571,DI,1978.0,8.5,6,1,0,0,,
66,150,6.10223800341143,CI,1958.0,7.75,5,1,0,0,,
66,150,85.7623188337749,CI,1958.0,7.75,5,1,0,0,,
17,300,2.82045008397552,PVC,2007.0,9.35,7,5,0,0,,
17,300,35.3764220148131,PVC,2007.0,9.35,7,5,0,0,,
60,300,0.61250750193259,CI,1964.0,7.85,7,1,7,1,-80.5141754022213,43.4473512448228
60,300,29.9970473996972,CI,1964.0,7.85,7,1,7,1,-80.5141754022213,43.4473512448228
60,300,199.860849337156,CI,1964.0,7.85,7,1,7,1,-80.5141754022213,43.4473512448228
60,300,227.075637598744,CI,1964.0,5.45,7,1,7,1,-80.5141754022213,43.4473512448228
60,300,304.58833546093,CI,1964.0,7.85,7,1,7,1,-80.5141754022213,43.4473512448228
30,200,11.4873350787838,PVC,1994.0,9.35,6,2,0,0,,
30,200,87.2135134440372,PVC,1994.0,9.35,6,2,0,0,,
55,200,3.66476795471111,DI,1969.0,8.5,7,1,0,0,,
55,200,167.435992658583,DI,1969.0,8.5,7,1,0,0,,
23,150,15.9105347992357,PVC,2001.0,9.35,5,1,0,0,,
23,150,2.3114507306044,PVC,2001.0,9.35,4,1,0,0,,
51,150,56.180664709948,DI,1973.0,8.5,6,1,1,1,-80.4753299948803,43.4148853246876
18,150,7.88233635660231,PVC,2006.0,9.35,6,2,0,0,,
18,150,140.825411973577,PVC,2006.0,9.35,6,2,0,0,,
18,150,14.3170722935076,PVC,2006.0,9.35,6,2,0,0,,
57,200,42.2443011723169,DI,1967.0,8.5,6,1,0,0,,
57,200,23.8642127052672,DI,1967.0,8.5,7,1,0,0,,
57,200,0.432008332843123,DI,1967.0,8.5,7,1,0,0,,
57,200,4.3946786908754,DI,1967.0,8.5,0,1,0,0,,
72,150,122.343976623187,CI,1952.0,4.95,5,1,2,1,-80.4923847642839,43.4686069114504
36,150,12.4511705499125,DI,1988.0,9.1,6,1,0,0,,
36,150,75.5807377593907,DI,1988.0,9.1,6,1,0,0,,
53,300,14.2088282649389,DI,1971.0,8.5,7,1,0,0,,
53,300,283.77143634856,DI,1971.0,8.5,6,1,0,0,,
53,300,10.6504317303145,DI,1971.0,8.5,7,1,2,1,-80.4419504733943,43.4087284036999
28,200,11.7392575774178,DI,1996.0,9.1,6,1,0,0,,
28,200,29.168884928465,DI,1996.0,9.1,6,1,0,0,,
88,150,118.481621356587,CI,1936.0,7.75,5,1,0,0,,
88,150,1.12504897652608,CI,1936.0,7.75,6,1,0,0,,
71,150,12.7319372770939,CI,1953.0,7.75,6,1,0,0,,
71,150,235.224957317111,CI,1953.0,7.75,6,1,0,0,,
77,150,47.1612319261043,CI,1947.0,7.75,5,1,0,0,,
28,150,74.7401458539483,DI,1996.0,9.1,6,1,0,0,,
47,150,159.160540046253,DI,1977.0,7.3,6,2,1,1,-80.4530218314871,43.3934972297405
47,150,9.00027470791341,DI,1977.0,8.5,6,2,1,1,-80.4530218314871,43.3934972297405
52,200,10.0632530173764,DI,1972.0,8.5,6,1,0,0,,
52,200,80.4282625251875,DI,1972.0,8.5,8,1,0,0,,
59,150,0.58545053173888,CI,1965.0,7.85,7,1,0,0,,
59,150,86.7215073448211,CI,1965.0,4.65,6,1,2,1,-80.44806526669,43.4452426640516
39,300,13.6036733923985,DI,1985.0,9.1,6,1,0,0,,
39,300,62.4231767162019,DI,1985.0,9.1,6,1,0,0,,
39,300,9.93105141354587,DI,1985.0,9.1,6,1,0,0,,
59,300,15.6437973323227,DI,1965.0,8.5,7,1,3,1,-80.4592922933936,43.4353222010894
59,300,11.5489833531391,DI,1965.0,8.5,7,1,6,1,-80.4566562154875,43.4344998008199
59,300,182.88239370646,DI,1965.0,8.5,7,1,0,0,,
53,300,18.8973722200152,DI,1971.0,8.5,6,2,0,0,,
53,300,292.533371775066,DI,1971.0,8.5,7,2,0,0,,
53,300,7.21512869512931,DI,1971.0,8.5,0,2,0,0,,
53,300,8.28144980457697,DI,1971.0,8.5,7,2,0,0,,
40,150,178.961657884376,DI,1984.0,9.1,6,0,0,0,,
40,150,11.9976653532436,DI,1984.0,9.1,6,0,0,0,,
70,150,215.045158320907,CI,1954.0,7.75,5,1,0,0,,
70,150,12.7998203550129,CI,1954.0,7.75,6,1,0,0,,
29,150,6.98393963845901,DI,1995.0,9.1,6,1,0,0,,
29,150,134.857469884859,DI,1995.0,9.1,6,1,0,0,,
53,200,77.6610476739508,DI,1971.0,8.5,5,3,0,0,,
53,200,4.88881812734268,DI,1971.0,8.5,5,3,0,0,,
53,200,4.48666968563191,DI,1971.0,8.5,0,3,0,0,,
46,300,25.1479019212027,DI,1978.0,8.5,7,1,4,1,-80.4749157307697,43.4680256479454
17,150,7.51238918085597,PVC,2007.0,9.35,6,0,0,0,,
17,150,66.9702901175411,PVC,2007.0,9.35,6,0,0,0,,
59,100,12.3443437941307,DI,1965.0,8.5,5,1,0,0,,
59,100,78.2348967943623,DI,1965.0,8.5,5,1,0,0,,
59,100,7.70895905747307,DI,1965.0,8.5,0,1,0,0,,
58,150,12.4248150726914,DI,1966.0,8.5,6,1,1,1,-80.4398113524205,43.4450669899484
58,150,198.850357915993,DI,1966.0,8.5,6,1,1,1,-80.4398113524205,43.4450669899484
58,150,7.66739846465184,DI,1966.0,8.5,6,1,1,1,-80.4398113524205,43.4450669899484
46,300,105.804977183856,DI,1978.0,8.5,7,3,0,0,,
46,300,118.308572219298,DI,1978.0,8.5,7,1,0,0,,
75,300,26.5267355655734,CI,1949.0,7.75,7,1,0,0,,
55,150,117.061524418562,DI,1969.0,8.5,5,3,0,0,,
55,150,12.7495233237809,DI,1969.0,8.5,5,3,0,0,,
73,450,85.9210717478991,CI,1951.0,7.75,6,1,2,1,-80.5064032467737,43.4421469412875
39,300,172.056230230319,DI,1985.0,9.1,6,0,0,0,,
60,150,7.23381294711986,CI,1964.0,7.85,6,1,2,1,-80.4511007673365,43.4543076269104
60,150,168.272193041483,CI,1964.0,7.05,6,1,2,1,-80.4511007673365,43.4543076269104
98,150,0.702521401343847,CI,1926.0,7.75,0,1,0,0,,
98,150,168.006952785791,CI,1926.0,5.5,6,1,0,0,,
52,150,3.76398233925072,DI,1972.0,8.5,0,5,0,0,,
52,150,1.23644548614923,DI,1972.0,8.5,0,5,0,0,,
52,150,111.010696009733,DI,1972.0,8.5,5,5,0,0,,
52,150,215.784193508232,DI,1972.0,8.5,5,5,0,0,,
52,150,12.6155822490175,DI,1972.0,8.5,5,5,0,0,,
71,150,0.607595259860177,CI,1953.0,7.75,6,1,5,1,-80.453280933076,43.4410921800946
22,150,12.2453167868026,PVC,2002.0,9.35,6,3,0,0,,
22,150,75.3140360111253,PVC,2002.0,9.35,6,3,0,0,,
75,300,187.464171685527,CI,1949.0,7.75,7,1,0,0,,
38,150,12.3048754591206,DI,1986.0,9.1,5,3,0,0,,
38,150,27.5092999810709,DI,1986.0,9.1,5,3,0,0,,
20,200,0.658151105549453,PVC,2004.0,9.35,0,3,0,0,,
20,200,43.0975509778219,PVC,2004.0,9.35,6,3,0,0,,
20,200,100.056183985784,PVC,2004.0,9.35,6,3,0,0,,
62,150,63.9530528081311,CI,1962.0,5.45,6,1,1,1,-80.4392483213003,43.434618856039
15,200,5.1445072803415,PVC,2009.0,9.35,7,1,0,0,,
25,300,11.8502757175763,PVC,1999.0,9.35,6,3,0,0,,
25,300,65.7818252857608,PVC,1999.0,9.35,6,3,0,0,,
29,200,85.2453193577966,DI,1995.0,9.1,6,1,0,0,,
26,250,5.21094742352716,PVC,1998.0,9.35,6,4,0,0,,
26,250,56.6043957050538,PVC,1998.0,9.35,5,4,0,0,,
15,300,2.83805057928787,PVC,2009.0,9.35,6,0,0,0,,
15,150,11.8664425282307,PVC,2009.0,9.35,6,1,0,0,,
15,150,83.2155824132946,PVC,2009.0,9.35,6,1,0,0,,
19,150,12.4564964509545,PVC,2005.0,9.35,6,1,0,0,,
19,150,70.4061187380013,PVC,2005.0,9.35,5,1,0,0,,
62,150,12.4850106911657,CI,1962.0,7.85,6,1,2,1,-80.5105245991486,43.4244322340581
62,150,77.4924437577463,CI,1962.0,5.45,5,1,2,1,-80.5105245991486,43.4244322340581
43,150,15.1674018121051,DI,1981.0,8.5,6,2,0,0,,
43,150,158.999950155991,DI,1981.0,8.5,6,2,0,0,,
42,300,58.6612951351087,DI,1982.0,9.1,6,1,0,0,,
42,300,10.0836627230437,DI,1982.0,9.1,7,1,0,0,,
29,300,72.1005333850001,PVC,1995.0,9.35,6,1,0,0,,
29,300,11.0388370775134,PVC,1995.0,9.35,6,1,0,0,,
65,300,115.120916283571,CI,1959.0,7.75,7,1,0,0,,
65,300,6.0579303917175,CI,1959.0,7.75,7,1,0,0,,
65,300,4.9282396287798,CI,1959.0,7.75,0,1,0,0,,
50,150,7.62348173260709,CI,1974.0,8.35,6,3,3,1,-80.4979857094221,43.4129509171735
50,150,179.030165540328,CI,1974.0,5.55,6,3,3,1,-80.4979857094221,43.4129509171735
50,150,7.74661711966049,CI,1974.0,8.35,6,3,3,1,-80.4979857094221,43.4129509171735
50,150,185.80515279065,CI,1974.0,8.35,6,3,3,1,-80.4979857094221,43.4129509171735
27,150,144.344355587029,DI,1997.0,9.1,5,0,0,0,,
27,150,12.2476692975268,DI,1997.0,9.1,5,0,0,0,,
41,300,4.67637308388246,DI,1983.0,9.1,7,1,0,0,,
21,300,27.4392258151432,PVC,2003.0,9.35,6,3,0,0,,
21,300,11.7069567357773,PVC,2003.0,9.35,6,3,0,0,,
48,600,8.06318437466847,DI,1976.0,8.5,0,1,0,0,,
91,300,4.32487630829433,CI,1933.0,7.75,6,1,0,0,,
30,200,6.23027677240284,DI,1994.0,9.1,7,0,0,0,,
30,200,0.697303835744308,DI,1994.0,9.1,7,0,0,0,,
30,200,130.471290543388,DI,1994.0,9.1,7,0,0,0,,
94,300,24.9550929403628,CI,1930.0,7.75,6,1,0,0,,
56,200,7.62023849514535,DI,1968.0,8.5,5,1,0,0,,
56,200,71.8348800689085,DI,1968.0,8.5,5,1,0,0,,
21,150,10.6385889891194,PVC,2003.0,9.35,6,2,0,0,,
